31 73
B5.2 X5.3.L
B5.3 X5.3.R
B5.3 X5.4.L
B5.4 R5
B5.4 X5.4.R
B6.0 L6
B6.0 X6.1.L
B6.1 X6.1.R
B6.1 X6.2.L
B6.2 X6.2.R
B6.2 X6.3.L
B6.3 X6.3.R
B6.3 X6.4.L
B6.4 R6
B6.4 X6.4.R
C1 X1.1.R
C1 X2.1.R
C1 X4.1.R
C2 X2.2.L
C2 X3.2.R
C2 X5.2.L
C3 X3.3.L
C3 X4.3.R
C3 X5.3.L
C4 X3.4.L
C4 X5.4.R
C4 X6.4.R
L1 B1.0
L1 L2
L1 R2
L2 B2.0
L2 L3
L2 R3
L3 B3.0
L3 L4
L3 R4
L4 B4.0
L4 L5
L4 R5
L5 B5.0
L5 L6
L5 R6
L6 B6.0
L6 T
R1 B1.4
R1 L2
R1 R2
R2 B2.4
R2 L3
R2 R3
R3 B3.4
R3 L4
R3 R4
R4 B4.4
R4 L5
R4 R5
R5 B5.4
R5 L6
R5 R6
R6 B6.4
R6 T
S L1
S R1
T S
X1.1.L B1.0
X1.1.L C1
X1.1.L X1.1.R
X1.1.R B1.1
X1.1.R X1.1.L
X1.2.L B1.1
X1.2.L X1.2.R
X1.2.R B1.2
X1.2.R X1.2.L
X1.3.L B1.2
X1.3.L X1.3.R
X1.3.R B1.3
X1.3.R X1.3.L
X1.4.L B1.3
X1.4.L X1.4.R
X1.4.R B1.4
X1.4.R X1.4.L
X2.1.L B2.0
X2.1.L C1
X2.1.L X2.1.R
X2.1.R B2.1
X2.1.R X2.1.L
X2.2.L B2.1
X2.2.L X2.2.R
X2.2.R B2.2
X2.2.R C2
X2.2.R X2.2.L
X2.3.L B2.2
X2.3.L X2.3.R
X2.3.R B2.3
X2.3.R X2.3.L
X2.4.L B2.3
X2.4.L X2.4.R
X2.4.R B2.4
X2.4.R X2.4.L
X3.1.L B3.0
X3.1.L X3.1.R
X3.1.R B3.1
X3.1.R X3.1.L
X3.2.L B3.1
X3.2.L C2
X3.2.L X3.2.R
X3.2.R B3.2
X3.2.R X3.2.L
X3.3.L B3.2
X3.3.L X3.3.R
X3.3.R B3.3
X3.3.R C3
X3.3.R X3.3.L
X3.4.L B3.3
X3.4.L X3.4.R
X3.4.R B3.4
X3.4.R C4
X3.4.R X3.4.L
X4.1.L B4.0
X4.1.L C1
X4.1.L X4.1.R
X4.1.R B4.1
X4.1.R X4.1.L
X4.2.L B4.1
X4.2.L X4.2.R
X4.2.R B4.2
X4.2.R X4.2.L
X4.3.L B4.2
X4.3.L C3
X4.3.L X4.3.R
X4.3.R B4.3
X4.3.R X4.3.L
X4.4.L B4.3
X4.4.L X4.4.R
X4.4.R B4.4
X4.4.R X4.4.L
X5.1.L B5.0
X5.1.L X5.1.R
X5.1.R B5.1
X5.1.R X5.1.L
X5.2.L B5.1
X5.2.L X5.2.R
X5.2.R B5.2
X5.2.R C2
X5.2.R X5.2.L
X5.3.L B5.2
X5.3.L X5.3.R
X5.3.R B5.3
X5.3.R C3
X5.3.R X5.3.L
X5.4.L B5.3
X5.4.L C4
X5.4.L X5.4.R
X5.4.R B5.4
X5.4.R X5.4.L
X6.1.L B6.0
X6.1.L X6.1.R
X6.1.R B6.1
X6.1.R X6.1.L
X6.2.L B6.1
X6.2.L X6.2.R
X6.2.R B6.2
X6.2.R X6.2.L
X6.3.L B6.2
X6.3.L X6.3.R
X6.3.R B6.3
X6.3.R X6.3.L
X6.4.L B6.3
X6.4.L C4
X6.4.L X6.4.R
X6.4.R B6.4
X6.4.R X6.4.L
